data_label,weighted_positive_sentiment,weighted_negative_sentiment,weighted_rating,weight,id,how_product_is_used,media,where_product_is_used,user_description,asin.original,observation_count
Magnetic board,0.0444685406982898,0.6372043490409851,3.0,1,[228],['For facilitating age-appropriate grasp patterns and hand-eye coordination in pediatric occupational therapy.'],[],[],['unknown'],B01M4OV4Q4,1
Magnetic drawing board,0.726683282348163,0.11556325437884554,4.352941176470588,289,"[66, 67, 163, 165, 8, 74, 43, 112, 49, 208, 179, 20, 21, 180, 220, 157, 95]","['For drawing and creating on-the-go.', 'For drawing and doodling on-the-go.', 'For drawing and learning letters.', 'For drawing on-the-go.', 'for letter exposure', 'In a pediatrics clinic', 'As a toy for car trips and rest time.', 'Drawing and playing with magnetic beads.', 'For kids to play with', 'To practice pencil grip', 'To keep kids occupied', 'as a fun toy', 'as a fidget toy']","['https://m.media-amazon.com/images/I/81xDQUVcDHL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/71TwhaRDoBL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/81iyXIgoVTL._SL1600_.jpg']","['At restaurants', 'In the car.', 'unknown', 'In the car', 'during rest time', 'while traveling']","['bought for 2-year-old granddaughter', 'Parent of a 4-year-old girl', 'Mother of a 4-year-old girl', 'husband likes it too', 'unknown', 'Mama', 'Works in a pediatrics clinic', 'Bought for 4-year-old', 'Grandparent of a 2-year-old', 'Has a nearly 4-year-old child', 'has younger siblings', 'Parent of a 4-year-old child', 'Grandparent', '11 and 13-year-old also enjoy', 'is a mom', 'Has a 6 year old and a 2 year old']",B07XCRT49W,17
Magnetic drawing board,0.726683282348163,0.11556325437884554,4.352941176470588,289,"[66, 67, 163, 165, 8, 74, 43, 112, 49, 208, 179, 20, 21, 180, 220, 157, 95]","['For drawing and creating on-the-go.', 'For drawing and doodling on-the-go.', 'For drawing and learning letters.', 'For drawing on-the-go.', 'for letter exposure', 'In a pediatrics clinic', 'As a toy for car trips and rest time.', 'Drawing and playing with magnetic beads.', 'For kids to play with', 'To practice pencil grip', 'To keep kids occupied', 'as a fun toy', 'as a fidget toy']","['https://m.media-amazon.com/images/I/81xDQUVcDHL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/71TwhaRDoBL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/81iyXIgoVTL._SL1600_.jpg']","['At restaurants', 'In the car.', 'unknown', 'In the car', 'during rest time', 'while traveling']","['bought for 2-year-old granddaughter', 'Parent of a 4-year-old girl', 'Mother of a 4-year-old girl', 'husband likes it too', 'unknown', 'Mama', 'Works in a pediatrics clinic', 'Bought for 4-year-old', 'Grandparent of a 2-year-old', 'Has a nearly 4-year-old child', 'has younger siblings', 'Parent of a 4-year-old child', 'Grandparent', '11 and 13-year-old also enjoy', 'is a mom', 'Has a 6 year old and a 2 year old']",B01M4OV4Q4,17
Magnetic drawing board,0.726683282348163,0.11556325437884554,4.352941176470588,289,"[66, 67, 163, 165, 8, 74, 43, 112, 49, 208, 179, 20, 21, 180, 220, 157, 95]","['For drawing and creating on-the-go.', 'For drawing and doodling on-the-go.', 'For drawing and learning letters.', 'For drawing on-the-go.', 'for letter exposure', 'In a pediatrics clinic', 'As a toy for car trips and rest time.', 'Drawing and playing with magnetic beads.', 'For kids to play with', 'To practice pencil grip', 'To keep kids occupied', 'as a fun toy', 'as a fidget toy']","['https://m.media-amazon.com/images/I/81xDQUVcDHL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/71TwhaRDoBL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/81iyXIgoVTL._SL1600_.jpg']","['At restaurants', 'In the car.', 'unknown', 'In the car', 'during rest time', 'while traveling']","['bought for 2-year-old granddaughter', 'Parent of a 4-year-old girl', 'Mother of a 4-year-old girl', 'husband likes it too', 'unknown', 'Mama', 'Works in a pediatrics clinic', 'Bought for 4-year-old', 'Grandparent of a 2-year-old', 'Has a nearly 4-year-old child', 'has younger siblings', 'Parent of a 4-year-old child', 'Grandparent', '11 and 13-year-old also enjoy', 'is a mom', 'Has a 6 year old and a 2 year old']",B07X7YFZWG,17
Magnetic drawing board,0.726683282348163,0.11556325437884554,4.352941176470588,289,"[66, 67, 163, 165, 8, 74, 43, 112, 49, 208, 179, 20, 21, 180, 220, 157, 95]","['For drawing and creating on-the-go.', 'For drawing and doodling on-the-go.', 'For drawing and learning letters.', 'For drawing on-the-go.', 'for letter exposure', 'In a pediatrics clinic', 'As a toy for car trips and rest time.', 'Drawing and playing with magnetic beads.', 'For kids to play with', 'To practice pencil grip', 'To keep kids occupied', 'as a fun toy', 'as a fidget toy']","['https://m.media-amazon.com/images/I/81xDQUVcDHL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/71TwhaRDoBL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/81iyXIgoVTL._SL1600_.jpg']","['At restaurants', 'In the car.', 'unknown', 'In the car', 'during rest time', 'while traveling']","['bought for 2-year-old granddaughter', 'Parent of a 4-year-old girl', 'Mother of a 4-year-old girl', 'husband likes it too', 'unknown', 'Mama', 'Works in a pediatrics clinic', 'Bought for 4-year-old', 'Grandparent of a 2-year-old', 'Has a nearly 4-year-old child', 'has younger siblings', 'Parent of a 4-year-old child', 'Grandparent', '11 and 13-year-old also enjoy', 'is a mom', 'Has a 6 year old and a 2 year old']",B07Q899BPB,17
Magnetic drawing board,0.726683282348163,0.11556325437884554,4.352941176470588,289,"[66, 67, 163, 165, 8, 74, 43, 112, 49, 208, 179, 20, 21, 180, 220, 157, 95]","['For drawing and creating on-the-go.', 'For drawing and doodling on-the-go.', 'For drawing and learning letters.', 'For drawing on-the-go.', 'for letter exposure', 'In a pediatrics clinic', 'As a toy for car trips and rest time.', 'Drawing and playing with magnetic beads.', 'For kids to play with', 'To practice pencil grip', 'To keep kids occupied', 'as a fun toy', 'as a fidget toy']","['https://m.media-amazon.com/images/I/81xDQUVcDHL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/71TwhaRDoBL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/81iyXIgoVTL._SL1600_.jpg']","['At restaurants', 'In the car.', 'unknown', 'In the car', 'during rest time', 'while traveling']","['bought for 2-year-old granddaughter', 'Parent of a 4-year-old girl', 'Mother of a 4-year-old girl', 'husband likes it too', 'unknown', 'Mama', 'Works in a pediatrics clinic', 'Bought for 4-year-old', 'Grandparent of a 2-year-old', 'Has a nearly 4-year-old child', 'has younger siblings', 'Parent of a 4-year-old child', 'Grandparent', '11 and 13-year-old also enjoy', 'is a mom', 'Has a 6 year old and a 2 year old']",B07XCRVK2Y,17
Pen,0.869963268438975,0.06066325154258964,4.777777777777778,81,"[2, 98, 101, 198, 8, 201, 74, 43, 112]","['As a quiet time activity for the family.', 'As a toy for car trips and rest time.', 'For kids to play with', 'As a quiet time activity for the family, to replace screen time.', 'For drawing and writing.']","['https://m.media-amazon.com/images/I/81xDQUVcDHL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/71TwhaRDoBL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/81iyXIgoVTL._SL1600_.jpg']","['unknown', 'car', 'In the car', 'Restaurants', 'during rest time']","['Parent of a 4-year-old girl', 'Mother of a 4-year-old girl', 'Parent of kids, one with autism', 'unknown', 'Mama', 'is a mom', 'Has a 6 year old and a 2 year old']",B07XCRT49W,9
Pen,0.869963268438975,0.06066325154258964,4.777777777777778,81,"[2, 98, 101, 198, 8, 201, 74, 43, 112]","['As a quiet time activity for the family.', 'As a toy for car trips and rest time.', 'For kids to play with', 'As a quiet time activity for the family, to replace screen time.', 'For drawing and writing.']","['https://m.media-amazon.com/images/I/81xDQUVcDHL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/71TwhaRDoBL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/81iyXIgoVTL._SL1600_.jpg']","['unknown', 'car', 'In the car', 'Restaurants', 'during rest time']","['Parent of a 4-year-old girl', 'Mother of a 4-year-old girl', 'Parent of kids, one with autism', 'unknown', 'Mama', 'is a mom', 'Has a 6 year old and a 2 year old']",B07XCRVK2Y,9
Pen,0.869963268438975,0.06066325154258964,4.777777777777778,81,"[2, 98, 101, 198, 8, 201, 74, 43, 112]","['As a quiet time activity for the family.', 'As a toy for car trips and rest time.', 'For kids to play with', 'As a quiet time activity for the family, to replace screen time.', 'For drawing and writing.']","['https://m.media-amazon.com/images/I/81xDQUVcDHL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/71TwhaRDoBL._SL1600_.jpg', 'https://m.media-amazon.com/images/I/81iyXIgoVTL._SL1600_.jpg']","['unknown', 'car', 'In the car', 'Restaurants', 'during rest time']","['Parent of a 4-year-old girl', 'Mother of a 4-year-old girl', 'Parent of kids, one with autism', 'unknown', 'Mama', 'is a mom', 'Has a 6 year old and a 2 year old']",B07X7YFZWG,9
Pen attachment,0.6688368916511536,0.10066137590911234,5.0,4,"[220, 221]","['In a pediatrics clinic', 'As a sensory toy for children with sensory issues.']",[],['unknown'],"['Works in a pediatrics clinic', 'Parent of a child with sensory issues']",B01M4OV4Q4,2
